"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13774","Отмена применения фильтра новостей","","Thu Jan 30 20:21:03 MSK 2025","passed","Thu Jan 30 20:21:16 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","shouldAllowToCancelNewsFilterApplication"
"","14351","Фильтрация всех новостей по статусу 'NOT ACTIVE'","","Thu Jan 30 20:22:11 MSK 2025","passed","Thu Jan 30 20:22:26 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","checkAllNewsAreNotActive"
"","12657","Отображение описания развернутой цитаты 2","","Thu Jan 30 20:26:27 MSK 2025","passed","Thu Jan 30 20:26:39 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldDisplayDescriptionOfQuotes2"
"","12747","Отображение описания развернутой цитаты 6","","Thu Jan 30 20:27:17 MSK 2025","passed","Thu Jan 30 20:27:30 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldDisplayDescriptionOfQuotes6"
"","13082","Отображение описания развернутой цитаты 7","","Thu Jan 30 20:27:30 MSK 2025","passed","Thu Jan 30 20:27:43 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldDisplayDescriptionOfQuotes7"
"","12701","Отображение номера версии приложения","","Thu Jan 30 20:14:53 MSK 2025","passed","Thu Jan 30 20:15:06 MSK 2025","","ru.iteco.fmhandroid.ui.test.AboutTest","ru.iteco.fmhandroid.ui.test.AboutTest","displayTheApplicationVersionNumber"
"","4395","Навигация к странице About со страницы с цитатами","","Thu Jan 30 20:26:09 MSK 2025","passed","Thu Jan 30 20:26:14 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldGoToAboutPageFromQuotePage"
"","13394","Навигация к странице Our Mission со страницы управления новостями","","Thu Jan 30 20:21:44 MSK 2025","passed","Thu Jan 30 20:21:57 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","shouldGoToOurMissionPageFromNewsManagementPage"
"","12724","Выход из учетной записи со страницы управления новостями","","Thu Jan 30 20:19:50 MSK 2025","passed","Thu Jan 30 20:20:03 MSK 2025","","ru.iteco.fmhandroid.ui.test.MainTest","ru.iteco.fmhandroid.ui.test.MainTest","shouldLogOutOfAccountOnTheMainPage"
"","14448","Удаление созданной новости","","Thu Jan 30 20:18:41 MSK 2025","passed","Thu Jan 30 20:18:56 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","deletingCreatedNews"
"","13394","Должен иметь правильный URL Политика конфиденциальности","","Thu Jan 30 20:15:19 MSK 2025","passed","Thu Jan 30 20:15:32 MSK 2025","","ru.iteco.fmhandroid.ui.test.AboutTest","ru.iteco.fmhandroid.ui.test.AboutTest","thereMustBeCorrectPrivacyPolicyUrl"
"","13046","Выход из раздела About кнопкой назад в приложении","","Thu Jan 30 20:15:06 MSK 2025","passed","Thu Jan 30 20:15:19 MSK 2025","","ru.iteco.fmhandroid.ui.test.AboutTest","ru.iteco.fmhandroid.ui.test.AboutTest","checkingAllElemInAbout"
"","3566","Авторизация с пустым полем Login","","Thu Jan 30 20:15:57 MSK 2025","passed","Thu Jan 30 20:16:01 MSK 2025","","ru.iteco.fmhandroid.ui.test.AuthorizationTest","ru.iteco.fmhandroid.ui.test.AuthorizationTest","authorizationWithEmptyLogin"
"","12155","Простая строка XSS инъекции в поля логин и пароль одновременно","","Thu Jan 30 20:16:22 MSK 2025","passed","Thu Jan 30 20:16:34 MSK 2025","","ru.iteco.fmhandroid.ui.test.AuthorizationTest","ru.iteco.fmhandroid.ui.test.AuthorizationTest","simpleXssInjectionInBothFields"
"","12739","Отображение описания развернутой цитаты 5","","Thu Jan 30 20:27:04 MSK 2025","passed","Thu Jan 30 20:27:17 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldDisplayDescriptionOfQuotes5"
"","12728","Отображение описания развернутой цитаты 8","","Thu Jan 30 20:27:43 MSK 2025","passed","Thu Jan 30 20:27:56 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldDisplayDescriptionOfQuotes8"
"","13668","Выход из учетной записи со страницы управления новостями","","Thu Jan 30 20:23:08 MSK 2025","passed","Thu Jan 30 20:23:22 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","shouldLogOutOfAccountOnTheNewsManagementPage"
"","13002","Отображение метки политики конфиденциальности","","Thu Jan 30 20:14:40 MSK 2025","passed","Thu Jan 30 20:14:53 MSK 2025","","ru.iteco.fmhandroid.ui.test.AboutTest","ru.iteco.fmhandroid.ui.test.AboutTest","shouldDisplayPrivacyPolicyLabel"
"","13424","Отмена применения фильтра новостей","","Thu Jan 30 20:24:20 MSK 2025","passed","Thu Jan 30 20:24:33 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCancelNewsFilterApplication"
"","14931","Отмена редактирования новости","","Thu Jan 30 20:17:15 MSK 2025","passed","Thu Jan 30 20:17:30 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","cancelEditingNews"
"","3628","Авторизация не зарегистрированного пользователя","","Thu Jan 30 20:16:38 MSK 2025","passed","Thu Jan 30 20:16:42 MSK 2025","","ru.iteco.fmhandroid.ui.test.AuthorizationTest","ru.iteco.fmhandroid.ui.test.AuthorizationTest","unregisteredUserAuthorization"
